episode,length,return
1,21,98.60393620900213
2,20,95.62093439613288
3,17,78.49135521399319
4,17,78.01753041233334
5,24,112.23700365919264
6,26,123.41972875888885
7,23,110.35524433793708
8,21,95.33491502099326
9,35,165.7629689437713
10,29,138.72195161654255
11,18,83.75448006269274
12,19,89.61636552888388
13,20,92.48921663505314
14,18,82.06241526764958
15,31,144.38140585518752
16,20,92.69015825809487
17,22,102.61067455648511
18,34,159.36567938655898
19,24,109.93799041311571
20,19,89.00229949914099
21,31,148.28777310616985
22,26,123.27907512368944
23,20,94.04729979090776
24,21,99.69013345302979
25,32,145.82304000654753
26,21,94.51295520715836
27,19,86.93547911016003
28,17,76.6925564164786
29,21,94.66267486376039
30,32,139.03490184362133
31,18,83.0433825586502
32,17,78.1412301290378
33,23,108.69619204040245
34,17,78.19532767402531
35,17,77.57340915911355
36,18,82.9709285704222
37,28,116.9847667733512
38,24,109.24357165583152
39,19,86.88187499822398
40,20,93.83191458235336
41,34,156.6978223926309
42,29,123.36099147580383
43,18,82.8891862986719
44,44,213.34611773825824
45,18,82.84311325762447
46,18,82.51863215820512
47,25,122.64610590227063
48,16,72.05826925410126
49,31,146.328091490578
50,18,82.99584319397263
51,34,163.20862461035074
52,28,134.9469483039995
53,23,111.9311966048869
54,22,104.0331657010019
55,24,110.86225926582065
56,51,250.23517819003348
57,40,194.00921128028224
58,22,104.91313288215896
59,25,120.4268808524784
60,18,83.14920210791931
61,31,137.63668508812137
62,51,234.0132295960594
63,24,114.78180306564944
64,21,98.64678497360057
65,44,216.35859271773768
66,26,119.52927351803599
67,27,129.3096930376493
68,43,209.46587291840987
69,26,123.47863202059047
70,20,94.3198165563596
71,17,77.72306901521135
72,60,295.234997781448
73,50,221.9880133050828
74,35,154.7485790126634
75,29,141.43336320598638
76,41,187.3062937195589
77,35,168.24400933029384
78,46,234.66104495840008
79,43,187.2145698522665
80,52,239.75654123377078
81,65,310.224898779444
82,65,346.9097449626485
83,56,268.9207719242565
84,61,268.90900886717594
85,60,313.2087190228699
86,43,210.37971163402383
87,63,325.3218445948376
88,67,315.4816275447499
89,57,261.6204918043625
90,43,210.29178505371746
91,58,281.40112254800323
92,61,310.33190873652563
93,50,224.4963537010556
94,69,292.9722004025064
95,61,294.65509488271675
96,50,233.6635736979031
97,55,264.848253110108
98,67,326.13871575675415
99,55,245.33785980931626
100,60,271.3171775604557
101,51,231.10745706410106
102,83,355.44274961053145
103,59,285.54230406042416
104,55,243.37816777173364
105,56,251.44865584537843
106,49,212.42560900286227
107,72,291.8760076701222
108,85,373.1268088920418
109,73,362.2335136610022
110,56,242.4013591035466
111,57,224.57255810374357
112,64,300.58882508212747
113,73,366.9288154951489
114,73,348.78462193918324
115,75,311.25806454848043
116,125,624.6285092589135
117,55,250.0994956243748
118,75,368.1393927559923
119,62,305.6758669435428
120,70,310.2127214363917
121,53,248.02866095390115
122,45,218.19705746973997
123,50,249.8364792835946
124,63,274.1782480830522
125,94,439.4723021815566
126,51,245.77863302337627
127,88,409.0568731127176
128,107,438.0032505689131
129,60,292.59873110761646
130,65,321.33124890250883
131,71,321.9339559770575
132,65,279.84257326825247
133,60,301.5484545853661
134,56,259.1901542259168
135,73,337.5511877631396
136,51,232.37573714126202
137,60,259.4287462903383
138,71,352.9899852930563
139,61,274.7619972914201
140,54,247.02926703968473
141,55,264.8019461970404
142,64,294.38296855674486
143,43,198.81638405906534
144,62,308.24090093174226
145,75,341.6082890360403
146,80,385.37099837547305
147,65,277.76302459678874
148,81,408.3540071616337
149,71,314.4173350516412
150,101,436.30073682406714
151,57,271.64056624756483
152,67,291.16956445392395
153,61,285.1755578746917
154,102,471.5667600482431
155,62,307.73898368012584
156,82,387.7971547686896
157,86,452.6942443865522
158,75,352.42543210133016
159,67,335.7916860436824
160,56,288.6475638195153
161,98,492.31912646642263
162,57,279.0367728998502
163,49,238.10998409406625
164,59,311.7633977259897
165,59,270.62503122025464
166,73,379.9101664259005
167,66,322.56523592932007
168,89,400.53961401494865
169,71,321.2807144108709
170,71,359.3706610414608
171,65,305.05493035011483
172,74,318.9368862369506
173,78,363.9374723219105
174,58,262.73180852010717
175,65,283.381444583586
176,89,422.23979209225286
177,69,325.4021897284425
178,98,465.79572701812555
179,61,274.94464160675784
180,76,337.1929885924901
181,58,270.925186504776
182,52,229.5706103925574
183,69,346.81716095993625
184,54,228.6028285166559
185,81,352.1395752701389
186,84,347.95353569458814
187,41,183.2627611478644
188,47,211.85237942524054
189,42,194.3863988370877
190,50,231.4419677200067
191,138,665.122881305696
192,67,306.5820010260151
193,46,218.71468100507255
194,62,308.07649417803935
195,53,254.5702233495437
196,42,182.50860023525524
197,52,235.85702347740732
198,67,315.46621446864174
199,70,359.4688826356617
200,82,329.6205137748898
201,53,232.88363606444892
202,59,300.35754651846077
203,75,374.297037465092
204,54,275.9670795334653
205,56,266.0621579918722
206,75,359.63217978878777
207,79,403.6060791523591
208,106,443.1711325500005
209,100,508.90999158954264
210,78,333.5214110275906
211,71,311.58917251799664
212,74,323.2969083083
213,57,239.40775744210453
214,73,302.7719628628304
215,68,313.3889435153837
216,70,300.0812087735297
217,66,291.42826633272983
218,46,207.29760763977407
219,69,284.17154421717356
220,61,290.9295542432252
221,56,241.88787393709217
222,47,201.34256626137073
223,51,206.77073141786505
224,65,273.33022053318246
225,72,309.0752301969729
226,68,289.6928217183044
227,41,180.3210056987507
228,84,372.78785289175903
229,80,380.57339726320004
230,50,203.52068145605267
231,48,230.97939835855516
232,57,224.8002190029193
233,126,569.4586991229054
234,58,282.9620401667397
235,115,507.20488454846054
236,88,426.92587631842986
237,64,265.0198419465246
238,77,342.30259004031655
239,142,653.827705635855
240,59,284.7332738255024
241,53,237.62264524981907
242,69,289.92993577006746
243,86,366.8834811136807
244,104,442.73564588240134
245,55,229.99359376550916
246,80,360.62710507979284
247,75,327.8383961791071
248,93,406.1408438468123
249,120,529.5913237268064
250,60,264.4168748696081
251,67,309.4284429005128
252,61,266.88401813241853
253,45,198.4197523914589
254,68,335.10526054411775
255,40,171.10365043295621
256,45,200.79819934873186
257,76,346.31991305703843
258,44,217.57979363308857
259,62,283.2494161549499
260,80,368.7344075153164
261,52,236.92239345962304
262,74,310.08921794940625
263,45,191.520542072851
264,61,332.0790705735856
265,52,257.4394279087277
266,56,286.9015912163196
267,67,348.3636020617956
268,52,271.47402711014036
269,65,319.3239276447872
270,68,351.9649309360153
271,75,377.31243723990275
272,68,320.2219098003247
273,65,308.7275579250291
274,108,514.8853613929101
275,87,380.9255123561831
276,72,354.8322638116496
277,47,221.44333631113722
278,53,254.40620811243363
279,61,300.2004386069847
280,84,391.4103754211719
281,47,220.64759718645263
282,57,258.4719706661132
283,84,412.79823933983306
284,68,273.13300740305664
285,102,466.83636210696983
286,57,243.41762928487682
287,56,243.3621779283546
288,92,419.6534435160169
289,49,207.3813110553241
290,52,220.77771578612152
291,64,259.88463640254986
292,94,403.09899238087695
293,99,478.6865623214209
294,65,278.8527197733849
295,64,295.7028582713191
296,61,300.70860351237155
297,80,353.1234745822384
298,62,303.0929679221198
299,76,383.44620776450694
300,80,409.02662790606917
301,66,317.41630671523404
302,58,272.170171716028
303,80,407.46030262146274
304,59,252.68011357724424
305,44,195.20384961312269
