episode,length,return
1,28,129.9902821834783
2,17,77.87571871833175
3,29,135.89552829309324
4,20,91.25324208990062
5,25,121.94478759722934
6,18,82.86159797088038
7,18,83.22443144034645
8,17,78.39040858488946
9,19,88.87601537017011
10,27,131.3114823405678
11,17,78.18047382114071
12,17,78.0058105154773
13,20,93.59142360125276
14,21,100.56585761125686
15,18,82.85411626066642
16,25,121.51336113528636
17,20,94.37879991771962
18,30,132.42378683925455
19,20,93.34317012169701
20,22,101.0247727972463
21,25,111.02153708470512
22,19,89.18503552609545
23,17,76.6268751375743
24,24,104.16705117806428
25,20,92.35969920619027
26,38,180.47484258285817
27,18,83.39529777494103
28,26,117.47789924935401
29,23,106.02417542975601
30,18,81.13519564812692
31,31,135.8682683687064
32,33,145.58385038813609
33,36,169.13220636009012
34,20,95.47872809663964
35,22,98.43479246614734
36,30,136.58611178372286
37,35,173.65066929115505
38,28,121.88159435782218
39,33,150.59276438421426
40,18,82.92029471598967
41,19,85.26208297120964
42,35,164.6802368084214
43,52,241.141958312779
44,22,107.34970607058301
45,23,108.46601654711807
46,26,122.8560804626981
47,24,111.44931196551008
48,27,126.11133533470407
49,27,129.3117262670416
50,19,88.04460464464161
51,17,77.32552628067846
52,17,77.88979418077864
53,35,162.5987530861272
54,29,126.76200461533051
55,21,95.04722576816565
56,22,98.94502351472309
57,22,100.20977238615316
58,18,85.18612034350835
59,18,83.08930290781814
60,19,84.55917448534808
61,27,114.93533696440763
62,25,121.78265686052663
63,22,102.7458403040607
64,22,105.67835341808193
65,29,127.19836064969749
66,25,110.02403015667623
67,22,104.3934411796765
68,18,83.50218490520676
69,54,239.0896126962041
70,18,82.44046336234211
71,24,106.63101023624169
72,54,265.2178552726214
73,29,126.08136421527075
74,22,95.13045978622108
75,18,82.19921450865242
76,25,107.1352225087224
77,41,189.05797742624716
78,25,122.02802517757947
79,35,165.50574904612233
80,44,198.24548376585713
81,47,239.90467252274942
82,58,299.5148469745259
83,44,217.7292029781003
84,47,209.1156632987362
85,76,337.33969046238593
86,55,263.4085347343496
87,79,316.2913595418583
88,46,218.8701801489453
89,34,152.4330652790988
90,62,273.2941831562298
91,58,240.49400635077583
92,67,315.3458698703971
93,56,279.7261551926183
94,58,267.1753368258334
95,70,350.5410642277356
96,39,179.14317796070162
97,72,325.5362848240874
98,47,213.06996873168669
99,54,243.82194039534878
100,51,247.67388535199743
101,71,366.3127341580482
102,71,346.5737899490007
103,52,253.0897839911049
104,74,373.83844268853795
105,42,189.05427892831855
106,58,284.88290859119064
107,60,246.13408366050567
108,89,464.66551297435393
109,55,262.16950408687455
110,62,286.86119009301717
111,68,279.96117185821674
112,50,208.874831295309
113,75,334.62178206567876
114,109,525.680133367905
115,56,243.80426606039313
116,54,243.7181068191273
117,51,218.92169677841903
118,64,300.880383260717
119,44,202.91055163043615
120,51,215.12906760028596
121,60,248.5722417923144
122,103,421.7522203395306
123,64,300.0885401611105
124,75,307.6361610084142
125,140,615.3007429007793
126,50,234.36266713909833
127,55,232.65764394618947
128,66,314.09730787125284
129,38,188.5619393348115
130,43,222.05789549547077
131,64,316.13418737962076
132,100,481.740684813711
133,104,449.6496297359302
134,95,475.3767525152082
135,74,396.3720579913693
136,83,379.1279809099488
137,93,431.88280477319245
138,71,376.7020614012168
139,59,321.91288534791636
140,145,743.3584456519046
141,56,277.76103584378023
142,89,457.4652553287117
143,69,298.0380639360058
144,89,401.0210869288332
145,69,352.9040248981753
146,56,270.7535071201326
147,46,227.67722874098328
148,61,281.5747559104188
149,93,472.1712570959049
150,73,342.2047836163945
151,129,620.3650803683604
152,89,443.83234477271714
153,81,376.6425696235308
154,81,419.461152923521
155,92,458.9761667435889
156,59,289.9572459892972
157,66,279.4022086097015
158,48,222.73850245882127
159,74,378.78077447625213
160,68,282.9079152580589
161,60,303.13225496008397
162,88,441.95357162191243
163,68,309.25533692047657
164,63,261.6837664960238
165,71,301.45558345332836
166,68,338.47571494279765
167,47,194.49220704114046
168,70,341.79516783299186
169,84,383.8691697123303
170,65,265.6220134845405
171,72,354.30857346745796
172,63,286.9217361060707
173,58,245.57458760076682
174,61,301.91119416862074
175,64,275.7673766845412
176,57,267.9917283179123
177,53,231.05879426530078
178,44,188.0166350656728
179,58,232.4062834526725
180,61,274.09135356353727
181,106,443.9848176988678
182,64,277.8546184364678
183,60,281.14680795531564
184,67,336.4192137136676
185,58,296.88741724926064
186,59,283.09192667472246
187,58,253.76125698705448
188,67,297.7106053240708
189,85,421.17634415543233
190,64,309.45759588925506
191,51,242.63672258997298
192,56,282.61815830559624
193,80,401.7940011009735
194,75,332.2312645294875
195,111,531.7868588211319
196,65,318.10646248686317
197,76,318.7094418756747
198,89,440.062749017763
199,103,440.31538158465105
200,64,299.4866223725824
201,76,353.3494277360261
202,69,285.2779835774217
203,74,303.75289775407947
204,75,339.9458576162565
205,92,447.9182019219153
206,84,381.30987221044535
207,52,242.96550698821073
208,92,393.0438042150899
209,94,469.5216133526671
210,39,171.33426111213586
211,55,249.31816271541842
212,97,453.00019121608346
213,46,221.21533332204075
214,81,317.80853439026635
215,87,423.5727201139177
216,67,310.802875174243
217,64,315.7372831705106
218,65,264.81556801425984
219,65,326.4065159449222
220,89,380.9841947975399
221,90,399.1484681981556
222,92,441.16647619891296
223,63,319.4609246830688
224,51,245.56155941248838
225,98,507.8718000675013
226,43,217.19562477850138
227,86,386.1379173814862
228,54,277.37315101145697
229,73,341.3899702716351
230,62,317.7224002102031
231,55,290.13761249357316
232,74,320.20746188210035
233,50,267.94225582735066
234,53,283.73119976195574
235,48,248.19243304039594
236,53,263.7534263379005
237,55,282.04179569817165
238,56,294.4330160415324
239,55,286.99417291808066
240,61,262.3767988142437
241,89,395.0259729582148
242,74,316.33496490412494
243,73,338.16832196558664
244,75,324.6028760206362
245,72,314.1256564180158
246,71,289.9363788155347
247,61,263.4111511625412
248,51,207.23391715669953
249,69,276.94727281597807
250,78,322.43908910395214
251,78,318.08740741801046
252,89,388.7003827469707
253,74,323.2529000931454
254,99,448.57162895833176
255,57,244.40666505365377
256,85,438.6377555785127
257,50,215.7717957615335
258,63,253.3631196239369
259,59,248.35383156570097
260,67,279.3417685351699
261,63,241.34747677697308
262,61,312.0306233331994
263,66,328.9051825361625
264,57,224.60255224823558
265,56,293.72369480134256
266,51,256.34727568874087
267,68,336.71864451029046
268,40,167.59073081434332
269,69,334.79059454804434
270,82,420.71553381395546
271,72,329.7550696021815
272,65,313.04466872307495
273,61,301.9930920935466
274,66,320.677733233888
275,126,642.3113801528758
276,70,338.36223556582377
277,57,272.7480116555506
278,57,246.1701954785259
279,79,368.37671276582313
280,101,493.61503415317026
281,122,568.293694887892
282,112,498.4408103054059
283,74,306.7882373022528
284,120,560.0308834483435
285,98,426.2014327995949
286,84,401.8141385525012
287,99,443.1395044450291
288,165,814.6799525581702
289,78,396.6509972594454
290,63,285.6458830627046
291,39,170.15306798944147
292,52,231.35458814079104
293,81,356.67809321277986
294,89,366.78955208876476
295,52,232.2246701630522
296,61,243.40506693557134
297,82,333.90351654417793
298,53,241.1919547329575
299,84,364.1474971438034
300,90,443.79486184699607
301,68,328.96795483472187
302,97,418.2493088280737
303,72,361.4907053257251
304,69,296.11344893430845
305,83,354.2781667435751
306,71,348.751499256228
307,84,417.20481183637645
308,58,262.7004598869584
309,110,535.6885558579789
310,82,357.9815818372962
311,69,315.2979568883984
312,77,318.9083741868303
313,83,369.9289972858771
314,66,267.90579398158116
315,49,212.31054400025633
316,44,183.5113128369886
317,68,281.11299808895876
318,39,164.86433143585612
319,82,347.48795577662787
320,39,175.06508315029615
321,71,314.8008368960793
322,99,416.41864072339195
323,99,413.49928579260967
324,94,463.9747154805197
325,134,606.9622930526289
326,95,466.26847204352134
327,71,381.3767139635292
328,74,385.8774125765942
329,77,341.417667417054
330,86,446.1921379189281
331,70,346.525968896013
332,81,352.1274032489938
333,66,308.5625070890041
334,53,239.99444425879327
335,64,277.37724618761666
336,80,389.2286959751997
337,46,187.87144366027155
338,38,165.23771864573462
339,75,373.9413221570293
340,56,235.75612764742382
341,76,355.81686291027756
342,79,354.5731356421021
343,62,257.5492482437361
344,71,297.3092079402144
345,61,271.3326998904878
346,66,287.2955064176816
347,53,237.45438826089244
348,59,274.51246829148914
349,59,273.55020659275783
350,66,340.1375078103858
351,73,356.96901047672634
352,66,319.65590172603106
353,90,463.84401115411225
354,79,410.84642065399595
355,65,336.5746085719488
356,86,452.32070343829827
357,74,380.60522946214576
358,58,304.2061154062145
359,65,330.76384220089545
360,94,490.9578347218599
361,84,395.8543854935013
362,71,344.15982876348295
363,68,350.0549340833358
364,71,350.72532428908625
365,64,318.70081169771
366,82,410.4663907468011
367,81,351.1539735318464
368,95,467.8068704826921
369,72,339.8561774046036
370,70,333.35551041666974
371,81,378.79132337959015
372,65,348.41124524535627
373,46,206.38212643577995
374,80,412.303420133553
375,88,451.337999930436
376,54,266.0483701992294
377,79,398.7727785927573
378,106,515.7657071532307
379,82,411.4647822525768
380,54,240.5690205794787
381,86,400.0410504107
382,76,380.2953888276575
383,79,430.24220457812726
384,100,437.3816732635377
385,62,272.72958815380645
386,63,285.8075494569605
387,98,488.50125434142706
388,69,319.8974797352394
389,75,387.27775819171825
390,61,285.67870733808695
391,64,279.69660671858117
392,58,251.49252913652666
393,65,313.54331043508523
394,55,245.57583503852445
395,97,486.88548177338356
396,72,303.7506629044334
397,70,287.24307694186405
398,111,511.8672002998708
399,70,309.9092342555191
400,93,449.14362074263755
401,66,292.0269264598024
402,77,400.08983600108684
403,96,467.1783470268504
404,101,446.9229704754248
405,71,287.5189413001237
406,58,278.9826994596944
407,37,178.77572016060984
408,54,242.76212063814796
409,30,140.3087241456571
410,51,240.9182585548887
411,35,158.2116649302456
412,75,330.5544374315001
413,33,152.78458083130408
414,30,140.95145694904866
415,79,398.7909716698145
416,63,315.44626953008026
417,42,181.10149526922308
418,97,459.07070550322015
419,70,363.3757992868779
420,99,496.286868601747
421,61,318.04120935598615
422,51,219.92881446913822
423,47,229.21367153484366
424,74,350.71103984520073
425,55,262.76681522516805
426,80,412.79691060274405
427,53,244.94677504067946
428,66,309.393712082936
429,49,213.97838244283867
430,102,402.5416770166904
431,64,288.06158050557025
432,56,235.57361695361328
433,82,352.37312760218373
434,66,257.9224312089523
435,65,264.999884056262
436,146,654.6442090752507
437,69,267.4805811243586
438,140,665.9476812438306
439,75,361.15763655590166
440,86,358.68091350851984
441,56,218.77260767852812
442,126,540.8746011563233
443,88,378.4549795736062
444,61,263.715203957663
445,70,308.50016116657633
446,89,377.98793893098514
447,91,453.5065970003872
448,103,482.9182703807427
449,83,338.6586315772338
450,87,353.6870696150722
451,81,338.4186092057201
452,72,301.93274801186305
453,76,328.51116098811247
454,67,275.7069324652003
455,80,342.4342875915388
456,93,394.0643540383064
457,65,263.6506140479426
458,110,481.2072535511255
459,68,290.1951954748455
460,67,277.63686345838653
461,78,323.48391512524654
462,77,327.7897458719585
463,75,315.3594309713366
464,98,432.91501786496815
465,74,307.1561934663607
466,96,421.40689438046957
467,76,350.91764930374165
468,78,341.87657554314796
469,81,394.55249451094113
470,66,278.0994477991676
471,63,259.822406668526
472,74,308.27452360408006
473,55,219.4329674502416
474,47,186.18047060741895
475,57,228.85290391458767
476,57,230.03879550414334
477,56,227.21689924034018
478,69,286.40386012954843
479,59,254.26473780748705
480,56,231.22943030939442
481,66,274.7804002504636
482,71,311.17666157476395
483,90,410.58779479719425
484,81,348.5059178413447
485,74,331.97113744682787
486,90,393.70727535399897
487,77,385.13842893402096
488,105,531.7847783799759
489,93,460.7260500037661
490,90,399.15721008421525
491,64,309.952297097829
492,105,495.567684409403
493,59,292.1041688275967
494,78,383.83440600529343
495,133,631.5186302309862
496,72,335.0359258923984
497,54,254.25418692220887
498,154,722.5954968544737
499,60,287.4937718678495
500,131,614.8818209525941
501,64,311.0154420290108
502,60,292.496122975394
503,94,454.20842797188436
504,98,488.6870663165926
505,105,526.172717880333
506,113,581.6201275743965
507,90,429.0114576249581
508,125,621.2480660703884
509,108,533.232670548899
510,100,409.08104166729953
511,112,568.2560709317802
512,83,384.08528901686094
513,71,296.2801027914703
514,70,349.7157400605464
515,93,417.23360698557667
516,90,412.5306286567485
517,65,267.76914741422974
518,68,299.3725048665964
519,82,360.98459307348804
520,60,258.3623572964607
521,64,266.6550047083023
522,63,283.12652890035866
523,144,602.9015385024276
524,69,318.7694509673893
525,83,412.50582571562455
526,78,381.5722888932769
527,66,279.87517463453213
528,79,342.982546424195
529,142,714.6813591321724
530,82,426.2934075596381
531,71,353.5332004631292
532,83,391.4577687160624
533,88,446.1319267864297
534,29,139.21570444587687
535,95,408.23561776999736
536,149,719.488005835917
537,71,344.6636311269975
538,64,372.88392393224444
539,51,253.27548160185873
540,61,296.5195496814692
541,17,70.8886505621275
542,18,80.49441134787838
543,18,78.15503672459032
544,20,86.0405622901407
545,20,83.01066785892894
546,24,112.74969340574252
547,18,74.34217756914009
548,23,100.25081328312416
549,53,263.6129459581269
550,22,103.1697201238702
551,80,397.1625456206014
552,25,121.7054730751292
553,87,439.935916869406
554,35,169.08473730326176
555,59,294.2496915361092
556,70,342.066657995732
557,38,195.00894871119186
558,58,294.3348823885365
559,125,618.5215853797929
560,68,335.34379948838756
561,91,437.4276132678081
562,56,274.212582267109
563,121,605.8253573171479
564,131,627.4902117173336
565,116,567.4735634914978
566,79,395.746098865634
567,45,228.09098219329994
568,131,663.7078725368631
569,143,658.5924068007924
570,79,339.71465539193866
571,69,282.0893917935733
572,79,387.0137049146353
573,88,395.3721955253059
574,83,410.9063736882724
575,84,354.64477782659054
576,124,583.4776694456068
577,59,247.4429829569418
578,123,575.6017199515179
579,74,313.63329757049223
580,79,377.33957630969724
581,60,274.27101747992054
582,71,302.2260495275925
583,75,322.05185941470626
584,72,302.53972323075027
585,107,516.7165333682377
586,56,221.03169107016845
587,69,282.011232484402
588,76,330.65477432955436
589,97,380.69764854506843
590,125,539.761066818183
591,73,306.44955413081175
592,61,251.31469864488284
593,57,223.37386444523284
594,87,388.42342021717724
595,248,1063.1686886895334
596,64,301.9562983228321
597,74,361.7221241421816
